article_id,model_id,last_id,sports_categories,gender_last,laces_type,vamp_material,insole_length,ball_girth,ball_width,heel_width,toe_height,heel_spring,too_small,too_large
3,1,378,Football,Female,laces,mesh,277.4,254,95.7,69.5,27.4,5,0.27526447157337314,0.02918791372141894
4,1,378,Football,Female,laces,mesh,277.4,254,95.7,69.5,27.4,5,0.26001445971981363,0.04071394795723159
9,100,346,Running,Male,sock,leather,271.6,238,91.3,63,24.7,8,0.16562173362764573,0.02390540445189754
10,100,346,Running,Male,sock,leather,271.6,238,91.3,63,24.7,8,0.20164479479883296,0.02569434151943007
19,1003,17,Football,Female,sock,leather,270.2,242.5,93.9,65.5,25.2,5,0.23581852378557536,0.012022576580529194
20,1003,17,Football,Female,sock,leather,270.2,242.5,93.9,65.5,25.2,5,0.25943047108294504,0.018975040457116562
25,1005,306,Basketball,Female,laces,strung,274.4,249,95.3,69.5,27.8,5.5,0.13592232090480472,0.4102071390560866
26,1005,306,Basketball,Female,laces,strung,274.4,249,95.3,69.5,27.8,5.5,0.1489961144785159,0.39083480473807564
43,1013,122,Basketball,Male,laces,synthetic,276.6,246.5,96.7,65.5,30.9,8.5,0.05915464125290841,0.279446551649072
44,1014,249,Running,Female,sock,synthetic,275.7,254.5,97.9,66,26.3,9,0.2648784195578476,0.05721064312578815
45,1014,249,Running,Female,sock,synthetic,275.7,254.5,97.9,66,26.3,9,0.2579551104724498,0.04699445653151706
50,1016,453,Basketball,Male,laces,cotton,281.6,255.5,100.4,70,25.7,10,0.13202357000803777,0.38866097826250623
65,1021,228,Running,Female,laces,mesh,275.4,249.5,93.4,64,28.4,13,0.08825016606458812,0.1435188970906983
66,1021,228,Running,Female,laces,mesh,275.4,249.5,93.4,64,28.4,13,0.07039263351152619,0.14969106021568268
67,1021,228,Running,Female,laces,mesh,275.4,249.5,93.4,64,28.4,13,0.08794264179387526,0.12803494635116722
68,1021,228,Running,Female,laces,mesh,275.4,249.5,93.4,64,28.4,13,0.09118627404889229,0.11628550883653757
71,1023,261,Basketball,Male,laces,strung,276.6,246,96.1,65.5,29.4,12,0.026381806266959767,0.3381747451720855
72,1023,261,Basketball,Male,laces,strung,276.6,246,96.1,65.5,29.4,12,0.026211109660781284,0.3374328098855594
73,1023,261,Basketball,Male,laces,strung,276.6,246,96.1,65.5,29.4,12,0.034456683615126764,0.34364370837463265
94,1033,325,Running,Female,laces,synthetic,274,243.5,94.8,65.5,26.1,13,0.2081449342262131,0.07163423689730553
95,1033,325,Running,Female,laces,synthetic,274,243.5,94.8,65.5,26.1,13,0.22649056450863447,0.09349657309888647
108,1037,122,Basketball,Male,laces,synthetic,276.6,246.5,96.7,65.5,30.9,8.5,0.07054906546712802,0.2870204433640386
109,1037,122,Basketball,Male,laces,synthetic,276.6,246.5,96.7,65.5,30.9,8.5,0.06516977430927448,0.2989778132772926
110,1038,193,Running,Male,sock,synthetic,279.6,259.5,97.1,67.5,25.4,7.5,0.10930007299591574,0.02578360772858947
111,1038,193,Running,Male,sock,synthetic,279.6,259.5,97.1,67.5,25.4,7.5,0.1234639860908695,0.017398660232215143
125,1043,197,Running,Male,laces,synthetic,280.1,249.5,95.8,69.5,26.6,6.5,0.19540158326307105,0.021683591212189317
126,1044,190,Basketball,Male,sock,strung,276.6,243.5,94.8,67,27,9.5,0.10935458273972574,0.2739071138768691
127,1044,190,Basketball,Male,sock,strung,276.6,243.5,94.8,67,27,9.5,0.11062038930268756,0.280228365601739
128,1044,190,Basketball,Male,sock,strung,276.6,243.5,94.8,67,27,9.5,0.12414866427265697,0.27933120376527903
129,1044,190,Basketball,Male,sock,strung,276.6,243.5,94.8,67,27,9.5,0.10561701021559336,0.2662385766907986
131,1045,28,Running,Male,laces,cotton,274.4,243.5,94.3,65.5,28,5.5,0.2957508680855903,0.06560728792622852
152,1051,350,Basketball,Female,sock,cotton,271.6,240.5,93.3,65,23.4,7.5,0.2758086807896657,0.3838848177660015
162,1056,337,Basketball,Male,sock,strung,279.7,255,95.2,68,25.3,5.5,0.20656200059026705,0.37940815549055296
163,1056,337,Basketball,Male,sock,strung,279.7,255,95.2,68,25.3,5.5,0.2326293373358811,0.35752739948013695
175,1060,346,Running,Male,sock,leather,271.6,238,91.3,63,24.7,8,0.17676499895872827,0.01428187255013811
176,1060,346,Running,Male,sock,leather,271.6,238,91.3,63,24.7,8,0.18826285785155314,0.0006309407172936828
180,1062,66,Basketball,Male,laces,cotton,276.2,258,95.8,63.5,26.4,7,0.16140944035730265,0.25351773332521166
227,1080,351,Basketball,Male,sock,mesh,277.6,246.5,93.9,67.5,27.5,8,0.1564088725660522,0.3152360091316621
228,1080,351,Basketball,Male,sock,mesh,277.6,246.5,93.9,67.5,27.5,8,0.1620483876651119,0.3177139743526244
229,1081,468,Running,Male,laces,cotton,273.4,243.5,92.9,63.5,24.1,7.5,0.1761155227391207,0.08912118271914785
230,1081,468,Running,Male,laces,cotton,273.4,243.5,92.9,63.5,24.1,7.5,0.1662975890492809,0.097748593397842
231,1081,468,Running,Male,laces,cotton,273.4,243.5,92.9,63.5,24.1,7.5,0.1723442173239188,0.09545253659067816
232,1081,468,Running,Male,laces,cotton,273.4,243.5,92.9,63.5,24.1,7.5,0.1732331054327642,0.10604218157985393
233,1081,468,Running,Male,laces,cotton,273.4,243.5,92.9,63.5,24.1,7.5,0.15947986231742925,0.08662958063294324
237,1083,89,Running,Male,laces,cotton,275.9,245.5,92.8,66.5,26.7,12.5,0.06265066332931911,0.12174303185344751
238,1083,89,Running,Male,laces,cotton,275.9,245.5,92.8,66.5,26.7,12.5,0.06596182889122662,0.10791296243973841
239,1084,494,Running,Female,laces,leather,281.3,262,97.7,70,27,4,0.12343294930809143,0.19281856312644596
240,1084,494,Running,Female,laces,leather,281.3,262,97.7,70,27,4,0.1014271778332623,0.1912728850548077
241,1084,494,Running,Female,laces,leather,281.3,262,97.7,70,27,4,0.11918654726725375,0.19343058032805413
242,1084,494,Running,Female,laces,leather,281.3,262,97.7,70,27,4,0.1344189444290631,0.17004053454928164
243,1084,494,Running,Female,laces,leather,281.3,262,97.7,70,27,4,0.12286625224723106,0.2048543001598686
250,1088,366,Running,Male,laces,cotton,275.9,255,94.9,64,26.8,17,0.18096776998515388,0.13847301018672498
251,1088,366,Running,Male,laces,cotton,275.9,255,94.9,64,26.8,17,0.16517965164178475,0.13011439166027522
254,109,466,Basketball,Male,sock,strung,282.1,257,100.3,68.5,27.5,11,0.07282405174104566,0.28735248481177883
255,109,466,Basketball,Male,sock,strung,282.1,257,100.3,68.5,27.5,11,0.06607229419238293,0.30204056157024606
256,109,466,Basketball,Male,sock,strung,282.1,257,100.3,68.5,27.5,11,0.07860336640552601,0.29586308632881864
263,1093,388,Running,Female,sock,mesh,277.1,244.5,91.9,62.5,25.9,7,0.09664507559981686,0.06173564108664565
264,1093,388,Running,Female,sock,mesh,277.1,244.5,91.9,62.5,25.9,7,0.12342626772255767,0.06129549644464842
287,1100,114,Running,Female,sock,mesh,275.9,254,97.2,66.5,28.5,5.5,0.1334119899241588,0.20608741611749049
294,1103,417,Running,Female,sock,leather,268.6,234.5,92.8,64,24.3,5,0.2198414264763277,0.170952517288828
295,1103,417,Running,Female,sock,leather,268.6,234.5,92.8,64,24.3,5,0.22045955437712111,0.17414074864733434
296,1103,417,Running,Female,sock,leather,268.6,234.5,92.8,64,24.3,5,0.22926451386339125,0.16397799139878894
311,111,483,Basketball,Male,sock,leather,271.9,246,94.4,60.5,27.6,13.5,0.11895388768124825,0.20696142436311787
312,111,483,Basketball,Male,sock,leather,271.9,246,94.4,60.5,27.6,13.5,0.10719502609736961,0.19942337624089132
321,1112,176,Basketball,Male,sock,cotton,274.5,261.5,100.7,67,26.6,10,0.1354584842284288,0.4159616589498927
322,1112,176,Basketball,Male,sock,cotton,274.5,261.5,100.7,67,26.6,10,0.14276175797299023,0.4103532683911526
323,1112,176,Basketball,Male,sock,cotton,274.5,261.5,100.7,67,26.6,10,0.1491446937619727,0.42955892821595065
334,1116,79,Basketball,Male,sock,cotton,276.8,258.5,101.8,65,24.9,11.5,0.1502573572252541,0.19886920509988562
335,1116,79,Basketball,Male,sock,cotton,276.8,258.5,101.8,65,24.9,11.5,0.17190282684205122,0.2137585856110654
